MSE, SSIM

43.96199035644531,0.940140439462956
406.6412811279297,0.8664710941661607
384.81700134277344,0.8494853523146456
106.63789367675781,0.8233818077483573
1349.323715209961,0.7383672550332966
539.2052459716797,0.7877818494801031
1050.0580444335938,0.7704214275253236
503.27496337890625,0.8275632917286726
1163.8146514892578,0.7385857559113099
1798.755142211914,0.6941172466827107
1517.421615600586,0.7294614438927199
1150.8230285644531,0.7938329854331015
1534.1407928466797,0.7106392568445351
149.32606506347656,0.9444676532415491
279.36061096191406,0.8388265158715117
226.31219482421875,0.9394260145940618
749.5774078369141,0.8213784021536327
325.35107421875,0.8911776867066685
1600.9661712646484,0.8052284420813959
372.8731689453125,0.8722467491747218
255.71275329589844,0.9149798468210559
544.3333282470703,0.8553482852059525
404.5872497558594,0.8366845297419081
354.08026123046875,0.9111372092321164
332.4775390625,0.8700639300300421
238.1256103515625,0.8374649161500988
1284.4723663330078,0.6868887894710903
551.1098937988281,0.8639884136800045
251.72608947753906,0.9183950644473563
601.0719299316406,0.8597359864934769
580.5612335205078,0.8759234558554404
1086.3549346923828,0.8046230718659151
932.0495147705078,0.8010908975369097
1159.7624969482422,0.8027218390378567
570.1682434082031,0.7801656734433314
184.44317626953125,0.8959141100805037
267.2601776123047,0.8705444378735624
454.54638671875,0.7558023553979482
431.0869445800781,0.8057276234335167
839.3903045654297,0.814389204859691
175.93618774414062,0.8566750004696982
345.9020233154297,0.8357578855509558
577.6554260253906,0.7094835654628866
1658.5094146728516,0.6207591983012833
921.7467041015625,0.796665350393644
387.64576721191406,0.847639288654655
1377.3812561035156,0.6153462607652842
476.7432556152344,0.8680349106813162
90.76960754394531,0.9076003678865193
1376.3576965332031,0.6717836910978137
398.6255798339844,0.7763135168774471
1232.6873779296875,0.7413034262222042
445.4148712158203,0.8408548346597466
781.7268524169922,0.8325350059057314
1037.3135833740234,0.7507653292588581
434.1095428466797,0.8995053372701229
1148.8095245361328,0.41592023035423487
694.0171813964844,0.733809319429066
1515.791244506836,0.6083467613142278
873.6376495361328,0.7201094669551977
1738.1683959960938,0.6019093541922028
977.0012359619141,0.7074980684552189
555.8072204589844,0.7272116199073972
822.9699249267578,0.7360878364621084
609.6858215332031,0.6538279211123931
148.6183624267578,0.7708178454745266
254.4062042236328,0.8082551460087904
358.54638671875,0.874529500549646
171.6499786376953,0.7919888372813503
3339.381851196289,0.41099016687161205
213.4867706298828,0.8306466762939254
1974.5701293945312,0.6018845794861948
709.8874664306641,0.8425214767666896
298.236328125,0.5813478230434206
60.6680908203125,0.8915960754339297
109.42701721191406,0.8010132120745386
1851.011703491211,0.5875766770996563
318.8778381347656,0.8303861007110684
446.97560119628906,0.8520064050756087
381.9513702392578,0.8228267215336262
107.43521118164062,0.8997247985629956
181.0649871826172,0.8166173483077712
202.78305053710938,0.7827890730882249
401.40943908691406,0.7785744645166435
3342.2630157470703,0.5490143139966097
1776.5215148925781,0.7432574127188515
984.8325500488281,0.6465626312566157
420.7640075683594,0.7803743925845673
138.62063598632812,0.8299447708468424
178.59678649902344,0.9133537322377467
392.2409973144531,0.744619889165493
1820.4868774414062,0.5264194268995097
747.7292175292969,0.6587531630374093
1938.9671478271484,0.5241971210800327
828.5208740234375,0.6896038846253345
554.8447113037109,0.714536922916146
71.86216735839844,0.8886866990130378
654.7083740234375,0.6713453372090716
1100.2250213623047,0.6726842049224272
1067.5197448730469,0.703519150993816
1189.7941131591797,0.5997721195799154
851.3064270019531,0.6739248209818925
151.25701904296875,0.8037126001903305
177.88674926757812,0.7541702251505308
85.63034057617188,0.8647356590966563
473.31980895996094,0.7515253770676042
1422.5405731201172,0.659639853088843
416.25416564941406,0.7464675425263851
265.3402862548828,0.7186821691632237
241.30422973632812,0.6894577422378795
406.4098205566406,0.8093542363952381
633.494140625,0.5864479629132768
1203.7035369873047,0.7015986134339193
374.47596740722656,0.8660172756137363
775.385986328125,0.8457122903603997
225.38600158691406,0.8353537750818816
229.7530059814453,0.8854984837886706
465.9351806640625,0.712357907772655
914.6702423095703,0.7208698107522904
659.8697052001953,0.7528823853796951
855.1653442382812,0.7574451116863674
251.6322784423828,0.8551046919219283
829.1535491943359,0.7463134166744283
220.66671752929688,0.7705352360612282
358.35426330566406,0.6216985618441578
499.7589874267578,0.6573933866179299
778.2817077636719,0.6622313180209414
159.84754943847656,0.8246993663510179
177.95468139648438,0.844691615070958
332.6184997558594,0.6976030340633276
359.3674774169922,0.6476372954795011
521.3876800537109,0.6285925793349663
418.9734344482422,0.8475231766386687
418.82818603515625,0.8846178964408333
980.5333709716797,0.7568835589018285
407.88763427734375,0.7259052303450251
532.5555419921875,0.7567844882756277
177.76036071777344,0.8574726967059376
347.6441650390625,0.6376737470904656
493.5160827636719,0.6119561836752064
325.72662353515625,0.6045505558037848
283.79991149902344,0.7210525765107381
727.2833709716797,0.6571609697573814
110.28128051757812,0.7874152211427857
576.1935119628906,0.6878231567415746
210.0137939453125,0.6833494142315015
414.22247314453125,0.8405919375673406
247.5768280029297,0.8227704452133149
1064.2896118164062,0.6859568599219106
228.62515258789062,0.8215735135048021
357.34454345703125,0.88990425787589
528.9555206298828,0.7424924775121732
344.3339538574219,0.6784219204077582
301.25794982910156,0.7900605266652089
235.4281768798828,0.8509222777251632
387.78662109375,0.8409540372603369
403.7000427246094,0.7613387868981604
278.8601531982422,0.6298923033153434
364.6543884277344,0.7475113104444823
254.1454620361328,0.8184731194056462
286.8441619873047,0.7731814415497147
774.4403228759766,0.6974450134300134
236.63877868652344,0.7620036678535567
